hs6,year,hs6_name_kr,cbam_category,kr_eu_export_weight_kg,kr_eu_export_value_usd,kr_world_export_weight_kg,kr_world_export_value_usd,ci_kor,eua_price_eur,kau_price_eur,ci_chn,ci_ind,ci_jpn,ci_tur,ci_usa,comp_eu_weight_chn,comp_eu_weight_ind,comp_eu_weight_jpn,comp_eu_weight_tur,comp_eu_weight_usa,c1,c2,c3
252310,2020,시멘트 클링커(clinker),시멘트,74.0,5.0,4239967074.0,144512654.0,1.075,24.52,21.53,1.345,1.4249999999999998,0.85,,1.28,4266244.909,899.0,14.0,1582094433.2428572,59950.04,0.2378544999999998,3.4599046253762667e-06,-0.2691144749229366
252310,2022,시멘트 클링커(clinker),시멘트,0.0,0.0,1650110000.0,66701131.0,1.075,80.64,15.28,1.345,1.4249999999999998,0.85,,1.28,3865244.6858,631.4,0.0,2968902184.5489445,29146.266666666663,0.0,0.0,-0.2695265764438643
252310,2023,시멘트 클링커(clinker),시멘트,0.0,0.0,1358146000.0,52296173.0,1.075,84.77,7.06,1.345,1.4249999999999998,0.85,,1.28,3282365.089411765,266.0,18.0,1643969776.8048046,57514.0,0.0,0.0,-0.2688844736318978
252310,2024,시멘트 클링커(clinker),시멘트,0.0,0.0,2363312000.0,63035306.0,1.075,66.3,6.25,1.345,1.4249999999999998,0.85,,1.28,10545374.403863637,296.42857142857144,0.0,2448993198.5966663,4495.666666666667,0.0,0.0,-0.2699745497810257
252310,2025,시멘트 클링커(clinker),시멘트,0.0,0.0,4020883000.0,101910414.0,1.075,74.88,5.78,1.345,1.4249999999999998,0.85,,1.28,7934463.0,0.0,104.0,2421852982.29,106283.912,0.0,0.0,-0.2691344281399852
252321,2018,백색 시멘트,시멘트,1331.0,196.0,2493653.0,371792.0,1.36,16.66,17.39,1.39,1.47,,,1.38,59688.29909090909,724458.052,1000.0,325953956.3138095,498901.907,0.0,0.0527176485776993,-0.0712826444804284
252321,2019,백색 시멘트,시멘트,2.0,1.0,3103901.0,438396.0,1.36,24.69,22.16,1.39,1.47,,,1.38,25644.0,1119550.0,25.0,387226848.362,629369.932,0.0068816,0.0002281042710243,-0.0769243734634856
252321,2020,백색 시멘트,시멘트,49.0,3.0,3497276.0,482326.0,1.36,24.52,21.53,1.39,1.47,,,1.38,48523.0,100.0,0.0,426425531.4583334,620356.498,0.1992535999999999,0.0006219859597036,-0.0207387819828221
252321,2021,백색 시멘트,시멘트,0.0,0.0,3135624.0,407406.0,1.36,54.37,14.62,1.39,1.47,,,1.38,3178.0,798.0,4500.0,455036529.4953334,517682.322,0.0,0.0,-0.0201985974259983
252321,2022,백색 시멘트,시멘트,0.0,0.0,3571049.0,469144.0,1.36,80.64,15.28,1.39,1.47,,,1.38,6548.281,6125.0,7364.333333333333,387468676.1357576,324842.571,0.0,0.0,-0.0218272706492017
252321,2023,백색 시멘트,시멘트,0.0,0.0,3349171.0,581869.0,1.36,84.77,7.06,1.39,1.47,,,1.38,76026.33333333333,45.0,4000.0,359210056.0,173608.39157142857,0.0,0.0,-0.0230611750057994
252321,2024,백색 시멘트,시멘트,0.0,0.0,3812290.0,649938.0,1.36,66.3,6.25,1.39,1.47,,,1.38,56426.0,0.0,4666.666666666667,224123052.28205127,195247.167,0.0,0.0,-0.0222420348054028
252321,2025,백색 시멘트,시멘트,0.0,0.0,3417935.0,563985.0,1.36,74.88,5.78,1.39,1.47,,,1.38,1782.142857142857,0.0,0.0,226026801.6666667,20792.252,0.0,0.0,-0.0207894532138823
252329,2018,기타 시멘트,시멘트,71449.0,41577.0,1186205181.0,46529105.0,0.94,16.66,17.39,1.42,1.48,0.89,,1.21,55279.23300000001,19497228.411,46964.653,448148286.948,608214.3396666667,0.0,0.0893569734470499,-0.5303381433772962
